episode,timestep,reward
15720, 255600, 8.989
15745, 256200, 10.2323
15769, 256800, 10.77
15795, 257400, 10.6076
15817, 258000, 10.5437
15842, 258600, 9.6528
15867, 259200, 10.6281
15891, 259800, 10.7539
15916, 260400, 10.1856
15942, 261000, 10.0906
15967, 261600, 10.4469
15992, 262200, 9.6195
16018, 262800, 10.1958
16043, 263400, 10.9698
16070, 264000, 8.1421
16095, 264600, 9.2079
16119, 265200, 8.9798
16143, 265800, 10.7802
16169, 266400, 10.2198
16194, 267000, 10.7472
16218, 267600, 11.5406
16242, 268200, 10.8649
16267, 268800, 10.4011
16294, 269400, 9.5621
16320, 270000, 10.6156
16347, 270600, 9.064
16374, 271200, 9.5071
16399, 271800, 10.7373
16425, 272400, 10.9017
16448, 273000, 12.8862
16475, 273600, 9.3019
16500, 274200, 8.3555
16525, 274800, 11.5605
16553, 275400, 6.7173
16580, 276000, 10.3558
16605, 276600, 9.6079
16632, 277200, 11.3734
16655, 277800, 11.3191
16680, 278400, 10.9581
16706, 279000, 11.1869
16730, 279600, 11.554
16757, 280200, 9.5491
16785, 280800, 10.0735
16812, 281400, 9.4456
16838, 282000, 10.3662
16864, 282600, 9.5148
16891, 283200, 9.5337
16917, 283800, 12.2456
16944, 284400, 8.6759
16971, 285000, 9.5378
16997, 285600, 9.3018
17024, 286200, 9.7379
17048, 286800, 12.2507
17076, 287400, 10.1915
17101, 288000, 11.8381
17126, 288600, 10.7925
17151, 289200, 9.6993
17177, 289800, 10.7962
17203, 290400, 11.0012
17228, 291000, 12.5299
17254, 291600, 10.7282
17279, 292200, 10.6192
17306, 292800, 10.1805
17332, 293400, 8.7695
17359, 294000, 9.6183
17385, 294600, 10.9052
17409, 295200, 13.7533
17437, 295800, 8.794
17465, 296400, 7.7382
17491, 297000, 10.4197
17518, 297600, 11.9761
17543, 298200, 10.6456
17567, 298800, 12.0033
17594, 299400, 9.8863
17620, 300000, 9.725
17647, 300600, 8.8921
17672, 301200, 9.7273
17697, 301800, 11.3596
17721, 302400, 11.9862
17746, 303000, 10.4485
17771, 303600, 10.5593
17796, 304200, 10.0279
17822, 304800, 10.5768
17847, 305400, 11.7565
17871, 306000, 11.5574
17897, 306600, 10.7813
17924, 307200, 9.6724
17949, 307800, 9.3728
17974, 308400, 11.9954
18000, 309000, 10.5483
18029, 309600, 8.3824
18054, 310200, 9.705
18079, 310800, 11.4667
18105, 311400, 11.5046
18132, 312000, 10.8122
18157, 312600, 11.0027
18183, 313200, 12.4501
18207, 313800, 12.4737
18231, 314400, 10.7209
18256, 315000, 12.2839
18282, 315600, 10.5204
18309, 316200, 11.2668
18334, 316800, 11.4308
18359, 317400, 12.1177
18383, 318000, 13.3494
18409, 318600, 9.6508
18433, 319200, 11.2526
18458, 319800, 12.2273
18483, 320400, 10.8961
18508, 321000, 10.9564
18534, 321600, 11.0985
18559, 322200, 10.7538
18585, 322800, 10.8618
18610, 323400, 12.2203
18635, 324000, 11.9052
18660, 324600, 12.298
18686, 325200, 11.204
18711, 325800, 11.6574
18737, 326400, 10.158
18763, 327000, 9.1108
18789, 327600, 11.1946
18812, 328200, 11.5258
18837, 328800, 10.1643
18864, 329400, 10.1937
18889, 330000, 10.3403
18917, 330600, 9.9222
18944, 331200, 11.4711
18969, 331800, 10.1552
18996, 332400, 9.5811
19020, 333000, 11.9029
19044, 333600, 11.892
19070, 334200, 11.3359
19097, 334800, 8.5879
19123, 335400, 9.7998
19149, 336000, 8.9607
19173, 336600, 12.8086
19201, 337200, 9.453
19225, 337800, 10.2728
19249, 338400, 13.9151
19273, 339000, 10.4831
19299, 339600, 12.0048
19326, 340200, 8.0182
19350, 340800, 11.019
19375, 341400, 11.2333
19398, 342000, 11.6819
19423, 342600, 13.0784
19449, 343200, 11.1043
19474, 343800, 10.4773
19499, 344400, 11.0091
19525, 345000, 10.6269
19549, 345600, 11.0481
19576, 346200, 10.649
19602, 346800, 11.7652
19626, 347400, 10.1266
19651, 348000, 12.0618
19675, 348600, 13.1172
19700, 349200, 11.4555
19729, 349800, 10.1479
19755, 350400, 10.5355
19782, 351000, 10.8774
19809, 351600, 9.8525
19832, 352200, 13.3762
19857, 352800, 10.0292
19883, 353400, 11.4824
19908, 354000, 10.3621
19934, 354600, 9.3408
19960, 355200, 8.4568
19983, 355800, 10.8583
20009, 356400, 9.3881
20033, 357000, 11.5749
20055, 357600, 12.063
20081, 358200, 10.1547
20108, 358800, 10.4184
20132, 359400, 12.8034
20157, 360000, 9.8123
20181, 360600, 9.8962
20206, 361200, 13.1153
20230, 361800, 9.579
20252, 362400, 13.272
20277, 363000, 11.1403
20300, 363600, 13.6071
20327, 364200, 9.4006
20351, 364800, 12.2687
20377, 365400, 9.4585
20402, 366000, 10.6091
20427, 366600, 10.5628
20452, 367200, 11.2613
20475, 367800, 10.3319
20499, 368400, 12.2981
20525, 369000, 11.0441
20550, 369600, 10.798
20574, 370200, 12.7647
20598, 370800, 13.1332
20622, 371400, 13.0372
20645, 372000, 11.7623
20669, 372600, 10.7326
20696, 373200, 10.4832
20720, 373800, 12.003
20746, 374400, 9.4948
20769, 375000, 12.5773
20796, 375600, 10.8107
20821, 376200, 10.7866
20845, 376800, 10.4278
20869, 377400, 10.1019
20892, 378000, 12.7275
20918, 378600, 9.6094
20942, 379200, 12.5631
20967, 379800, 9.6246
20988, 380400, 13.8334
21012, 381000, 12.4293
21037, 381600, 12.2658
21060, 382200, 13.8042
21083, 382800, 14.1105
21106, 383400, 11.8465
21131, 384000, 10.149
21155, 384600, 12.9351
